Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID
Valorant Champions 2024,2097,Playoffs,4131,Upper Quarterfinals,26235
Valorant Champions 2024,2097,Playoffs,4131,Upper Semifinals,26236
Valorant Champions 2024,2097,Playoffs,4131,Upper Final,26237
Valorant Champions 2024,2097,Playoffs,4131,Grand Final,26238
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 1,26239
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 2,26240
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 3,26241
Valorant Champions 2024,2097,Playoffs,4131,Lower Final,26242
Valorant Champions 2024,2097,Group Stage,4035,Opening (A),26219
Valorant Champions 2024,2097,Group Stage,4035,Winner's (A),26220
Valorant Champions 2024,2097,Group Stage,4035,Elimination (A),26221
Valorant Champions 2024,2097,Group Stage,4035,Decider (A),26222
Valorant Champions 2024,2097,Group Stage,4035,Opening (B),26223
Valorant Champions 2024,2097,Group Stage,4035,Winner's (B),26224
Valorant Champions 2024,2097,Group Stage,4035,Elimination (B),26225
Valorant Champions 2024,2097,Group Stage,4035,Decider (B),26226
Valorant Champions 2024,2097,Group Stage,4035,Opening (C),26227
Valorant Champions 2024,2097,Group Stage,4035,Winner's (C),26228
Valorant Champions 2024,2097,Group Stage,4035,Elimination (C),26229
Valorant Champions 2024,2097,Group Stage,4035,Decider (C),26230
Valorant Champions 2024,2097,Group Stage,4035,Opening (D),26231
Valorant Champions 2024,2097,Group Stage,4035,Winner's (D),26232
Valorant Champions 2024,2097,Group Stage,4035,Elimination (D),26233
Valorant Champions 2024,2097,Group Stage,4035,Decider (D),26234
Valorant Champions 2024,2097,All Stages,,All Match Types,
Champions Tour 2024: China Stage 2,2096,Playoffs,4034,Knockout Round,25937
Champions Tour 2024: China Stage 2,2096,Playoffs,4034,Upper Semifinals,25938
Champions Tour 2024: China Stage 2,2096,Playoffs,4034,Upper Final,25939
Champions Tour 2024: China Stage 2,2096,Playoffs,4034,Grand Final,25940
Champions Tour 2024: China Stage 2,2096,Playoffs,4034,Lower Round 1,25941
Champions Tour 2024: China Stage 2,2096,Playoffs,4034,Lower Final,25942
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 1,25474
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,25475
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,25476
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,25477
Champions Tour 2024: China Stage 2,2096,All Stages,,All Match Types,
Champions Tour 2024: EMEA Stage 2,2094,Playoffs,4030,Knockout Round,25968
Champions Tour 2024: EMEA Stage 2,2094,Playoffs,4030,Upper Semifinals,25969
Champions Tour 2024: EMEA Stage 2,2094,Playoffs,4030,Upper Final,25970
Champions Tour 2024: EMEA Stage 2,2094,Playoffs,4030,Grand Final,25971
Champions Tour 2024: EMEA Stage 2,2094,Playoffs,4030,Lower Round 1,25972
Champions Tour 2024: EMEA Stage 2,2094,Playoffs,4030,Lower Final,25973
Champions Tour 2024: EMEA Stage 2,2094,Regular Season,4029,Week 1,25299
Champions Tour 2024: EMEA Stage 2,2094,Regular Season,4029,Week 2,25300
Champions Tour 2024: EMEA Stage 2,2094,Regular Season,4029,Week 3,25301
Champions Tour 2024: EMEA Stage 2,2094,Regular Season,4029,Week 4,25302
Champions Tour 2024: EMEA Stage 2,2094,All Stages,,All Match Types,
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Knockout Round,25962
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Upper Semifinals,25963
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Upper Final,25964
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Grand Final,25965
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Lower Round 1,25966
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Lower Final,25967
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,25303
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,25304
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 3,25305
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 4,25306
Champions Tour 2024: Americas Stage 2,2095,All Stages,,All Match Types,
Champions Tour 2024: Pacific Stage 2,2005,Playoffs,3839,Knockout Round,25643
Champions Tour 2024: Pacific Stage 2,2005,Playoffs,3839,Upper Semifinals,25644
Champions Tour 2024: Pacific Stage 2,2005,Playoffs,3839,Upper Final,25645
Champions Tour 2024: Pacific Stage 2,2005,Playoffs,3839,Grand Final,25646
Champions Tour 2024: Pacific Stage 2,2005,Playoffs,3839,Lower Round 1,25647
Champions Tour 2024: Pacific Stage 2,2005,Playoffs,3839,Lower Final,25648
Champions Tour 2024: Pacific Stage 2,2005,Regular Season,3838,Week 1,24030
Champions Tour 2024: Pacific Stage 2,2005,Regular Season,3838,Week 2,24031
Champions Tour 2024: Pacific Stage 2,2005,Regular Season,3838,Week 3,24032
Champions Tour 2024: Pacific Stage 2,2005,Regular Season,3838,Week 4,24033
Champions Tour 2024: Pacific Stage 2,2005,All Stages,,All Match Types,
Champions Tour 2024: Masters Shanghai,1999,Playoffs,3974,Upper Quarterfinals,25032
Champions Tour 2024: Masters Shanghai,1999,Playoffs,3974,Upper Semifinals,25033
Champions Tour 2024: Masters Shanghai,1999,Playoffs,3974,Upper Final,25034
Champions Tour 2024: Masters Shanghai,1999,Playoffs,3974,Grand Final,25035
Champions Tour 2024: Masters Shanghai,1999,Playoffs,3974,Lower Round 1,25036
Champions Tour 2024: Masters Shanghai,1999,Playoffs,3974,Lower Round 2,25037
Champions Tour 2024: Masters Shanghai,1999,Playoffs,3974,Lower Round 3,25038
Champions Tour 2024: Masters Shanghai,1999,Playoffs,3974,Lower Final,25039
Champions Tour 2024: Masters Shanghai,1999,Swiss Stage,3842,Round 1,25018
Champions Tour 2024: Masters Shanghai,1999,Swiss Stage,3842,Round 2,25030
Champions Tour 2024: Masters Shanghai,1999,Swiss Stage,3842,Round 3,25031
Champions Tour 2024: Masters Shanghai,1999,All Stages,,All Match Types,
Champions Tour 2024: Pacific Stage 1,2002,Playoffs,3833,Knockout Round,24024
Champions Tour 2024: Pacific Stage 1,2002,Playoffs,3833,Upper Semifinals,24025
Champions Tour 2024: Pacific Stage 1,2002,Playoffs,3833,Upper Final,24026
Champions Tour 2024: Pacific Stage 1,2002,Playoffs,3833,Lower Round 1,24027
Champions Tour 2024: Pacific Stage 1,2002,Playoffs,3833,Lower Final,24028
Champions Tour 2024: Pacific Stage 1,2002,Playoffs,3833,Grand Final,24029
Champions Tour 2024: Pacific Stage 1,2002,Regular Season,3832,Week 1,24020
Champions Tour 2024: Pacific Stage 1,2002,Regular Season,3832,Week 2,24021
Champions Tour 2024: Pacific Stage 1,2002,Regular Season,3832,Week 3,24022
Champions Tour 2024: Pacific Stage 1,2002,Regular Season,3832,Week 4,24023
Champions Tour 2024: Pacific Stage 1,2002,All Stages,,All Match Types,
Champions Tour 2024: China Stage 1,2006,Playoffs,3841,Knockout Round,24847
Champions Tour 2024: China Stage 1,2006,Playoffs,3841,Upper Semifinals,24848
Champions Tour 2024: China Stage 1,2006,Playoffs,3841,Upper Final,24849
Champions Tour 2024: China Stage 1,2006,Playoffs,3841,Lower Round 1,24850
Champions Tour 2024: China Stage 1,2006,Playoffs,3841,Lower Final,24851
Champions Tour 2024: China Stage 1,2006,Playoffs,3841,Grand Final,24852
Champions Tour 2024: China Stage 1,2006,Regular Season,3840,Week 1,24149
Champions Tour 2024: China Stage 1,2006,Regular Season,3840,Week 2,24150
Champions Tour 2024: China Stage 1,2006,Regular Season,3840,Week 3,24152
Champions Tour 2024: China Stage 1,2006,Regular Season,3840,Week 4,24153
Champions Tour 2024: China Stage 1,2006,Regular Season,3840,Week 5,24154
Champions Tour 2024: China Stage 1,2006,All Stages,,All Match Types,
Champions Tour 2024: EMEA Stage 1,1998,Playoffs,3826,Knockout Round,24817
Champions Tour 2024: EMEA Stage 1,1998,Playoffs,3826,Upper Semifinals,24818
Champions Tour 2024: EMEA Stage 1,1998,Playoffs,3826,Upper Final,24819
Champions Tour 2024: EMEA Stage 1,1998,Playoffs,3826,Grand Final,24820
Champions Tour 2024: EMEA Stage 1,1998,Playoffs,3826,Lower Round 1,24821
Champions Tour 2024: EMEA Stage 1,1998,Playoffs,3826,Lower Final,24822
Champions Tour 2024: EMEA Stage 1,1998,Regular Season,3825,Week 1,24136
Champions Tour 2024: EMEA Stage 1,1998,Regular Season,3825,Week 2,24137
Champions Tour 2024: EMEA Stage 1,1998,Regular Season,3825,Week 3,24138
Champions Tour 2024: EMEA Stage 1,1998,Regular Season,3825,Week 4,24139
Champions Tour 2024: EMEA Stage 1,1998,Regular Season,3825,Week 5,24140
Champions Tour 2024: EMEA Stage 1,1998,All Stages,,All Match Types,
Champions Tour 2024: Americas Stage 1,2004,Playoffs,3837,Knockout Round,24732
Champions Tour 2024: Americas Stage 1,2004,Playoffs,3837,Upper Semifinals,24733
Champions Tour 2024: Americas Stage 1,2004,Playoffs,3837,Upper Final,24734
Champions Tour 2024: Americas Stage 1,2004,Playoffs,3837,Grand Final,24735
Champions Tour 2024: Americas Stage 1,2004,Playoffs,3837,Lower Round 1,24736
Champions Tour 2024: Americas Stage 1,2004,Playoffs,3837,Lower Final,24737
Champions Tour 2024: Americas Stage 1,2004,Regular Season,3836,Week 1,24042
Champions Tour 2024: Americas Stage 1,2004,Regular Season,3836,Week 2,24043
Champions Tour 2024: Americas Stage 1,2004,Regular Season,3836,Week 3,24044
Champions Tour 2024: Americas Stage 1,2004,Regular Season,3836,Week 4,24045
Champions Tour 2024: Americas Stage 1,2004,Regular Season,3836,Week 5,24046
Champions Tour 2024: Americas Stage 1,2004,All Stages,,All Match Types,
Champions Tour 2024: Masters Madrid,1921,Playoffs,3821,Upper Semifinals,23897
Champions Tour 2024: Masters Madrid,1921,Playoffs,3821,Upper Final,23898
Champions Tour 2024: Masters Madrid,1921,Playoffs,3821,Grand Final,23899
Champions Tour 2024: Masters Madrid,1921,Playoffs,3821,Lower Round 1,23900
Champions Tour 2024: Masters Madrid,1921,Playoffs,3821,Lower Final,23901
Champions Tour 2024: Masters Madrid,1921,Swiss Stage,3663,Round 1,23896
Champions Tour 2024: Masters Madrid,1921,Swiss Stage,3663,Round 2,23902
Champions Tour 2024: Masters Madrid,1921,Swiss Stage,3663,Round 3,23903
Champions Tour 2024: Masters Madrid,1921,All Stages,,All Match Types,
Champions Tour 2024: Americas Kickoff,1923,Playoffs,3719,Semifinals,23029
Champions Tour 2024: Americas Kickoff,1923,Playoffs,3719,Grand Final,23030
Champions Tour 2024: Americas Kickoff,1923,Play-Ins,3718,Play-ins,23818
Champions Tour 2024: Americas Kickoff,1923,Group Stage,3637,Opening (A),23017
Champions Tour 2024: Americas Kickoff,1923,Group Stage,3637,Winner's (A),23018
Champions Tour 2024: Americas Kickoff,1923,Group Stage,3637,Elimination (A),23019
Champions Tour 2024: Americas Kickoff,1923,Group Stage,3637,Decider (A),23020
Champions Tour 2024: Americas Kickoff,1923,Group Stage,3637,Opening (B),23021
Champions Tour 2024: Americas Kickoff,1923,Group Stage,3637,Winner's (B),23022
Champions Tour 2024: Americas Kickoff,1923,Group Stage,3637,Elimination (B),23023
Champions Tour 2024: Americas Kickoff,1923,Group Stage,3637,Decider (B),23024
Champions Tour 2024: Americas Kickoff,1923,Group Stage,3637,Opening (C),23025
Champions Tour 2024: Americas Kickoff,1923,Group Stage,3637,Winner's (C),23026
Champions Tour 2024: Americas Kickoff,1923,Group Stage,3637,Decider (C),23028
Champions Tour 2024: Americas Kickoff,1923,All Stages,,All Match Types,
Champions Tour 2024: China Kickoff,1926,Playoffs,3725,Semifinals,23487
Champions Tour 2024: China Kickoff,1926,Playoffs,3725,Grand Final,23488
Champions Tour 2024: China Kickoff,1926,Play-Ins,3724,Round-Robin,23486
Champions Tour 2024: China Kickoff,1926,Group Stage,3640,Opening (A),23465
Champions Tour 2024: China Kickoff,1926,Group Stage,3640,Winner's (A),23466
Champions Tour 2024: China Kickoff,1926,Group Stage,3640,Elimination (A),23467
Champions Tour 2024: China Kickoff,1926,Group Stage,3640,Decider (A),23468
Champions Tour 2024: China Kickoff,1926,Group Stage,3640,Opening (B),23469
Champions Tour 2024: China Kickoff,1926,Group Stage,3640,Winner's (B),23470
Champions Tour 2024: China Kickoff,1926,Group Stage,3640,Elimination (B),23471
Champions Tour 2024: China Kickoff,1926,Group Stage,3640,Decider (B),23472
Champions Tour 2024: China Kickoff,1926,Group Stage,3640,Opening (C),23473
Champions Tour 2024: China Kickoff,1926,Group Stage,3640,Winner's (C),23474
Champions Tour 2024: China Kickoff,1926,Group Stage,3640,Decider (C),23475
